Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0805_2012Metric,156.155601,-91.185999,180.0,top
C2,30p,C_0402_1005Metric,145.034,-108.204,180.0,top
C3,30p,C_0402_1005Metric,148.717,-110.236,-90.0,top
C4,1u,C_0805_2012Metric,153.107602,-93.979997,90.0,top
C5,100n,C_0402_1005Metric,142.621,-93.218,90.0,top
C6,100n,C_0402_1005Metric,149.098,-106.299,0.0,top
C7,100n,C_0402_1005Metric,143.637,-93.218,90.0,top
C8,1u,C_0402_1005Metric,148.6408,-95.9104,90.0,top
C9,100n,C_0402_1005Metric,141.351,-102.108,90.0,top
C10,1u,C_0402_1005Metric,149.6568,-95.9104,90.0,top
C11,100n,C_0402_1005Metric,150.6728,-95.9104,90.0,top
C12,100n,C_0402_1005Metric,151.13,-99.06,0.0,top
C13,100n,C_0402_1005Metric,150.749,-102.108,90.0,top
C14,100n,C_0402_1005Metric,145.669,-93.218,90.0,top
C15,100n,C_0402_1005Metric,144.653,-93.218,90.0,top
C16,100n,C_0402_1005Metric,140.97,-99.187,180.0,top
C17,100n,C_0402_1005Metric,152.654,-105.789,-90.0,top
C18,100n,C_0402_1005Metric,139.446,-104.013,-90.0,top
C19,100n,C_0402_1005Metric,131.572,-110.772,90.0,top
C20,100n,C_0402_1005Metric,138.557,-98.326,90.0,top
C21,100n,C_0402_1005Metric,138.811,-106.426,0.0,top
C22,100n,C_0402_1005Metric,155.7528,-103.1748,0.0,top
C23,100n,C_0402_1005Metric,138.557,-84.046,-90.0,top
C24,100n,C_0402_1005Metric,153.543,-84.864,90.0,top
C25,100n,C_0402_1005Metric,153.543,-101.064,-90.0,top
C26,100n,C_0402_1005Metric,151.412,-111.252,180.0,top
C27,100n,C_0402_1005Metric,149.098,-107.315,0.0,top
D1,SK6812MINI-E,MX_SK6812MINI-E_REV,135.89,-110.41,0.0,top
D2,SK6812MINI,LED_SK6812MINI-B-012_3.7x3.5mm_P1.1mm,135.89,-99.695,0.0,top
D3,SK6812MINI,LED_SK6812MINI-B-012_3.7x3.5mm_P1.1mm,135.89,-84.455,0.0,top
D4,SK6812MINI,LED_SK6812MINI-B-012_3.7x3.5mm_P1.1mm,156.21,-84.455,180.0,top
D5,SK6812MINI,LED_SK6812MINI-B-012_3.7x3.5mm_P1.1mm,156.21,-99.695,180.0,top
D6,SK6812MINI-E,MX_SK6812MINI-E_REV,156.21,-110.41,0.0,top
D7,PRTR5V0U2X,SOT-143,145.542,-87.884,0.0,top
F1,1.1A,Fuse_1206_3216Metric,156.21,-88.9,0.0,top
IC1,W25Q16JVUXIQ,SON50P300X200X60-9N,141.859,-95.504,0.0,top
J3,USB-C 2.0 Receptacle,USB_C_Receptacle_HRO_TYPE-C-31-M-12,146.05,-80.645,180.0,top
R1,1k,R_0402_1005Metric,140.716,-92.583,180.0,top
R2,5.1k,R_0402_1005Metric,147.701,-87.122,90.0,top
R3,27,R_0402_1005Metric,146.685,-93.218,-90.0,top
R4,27,R_0402_1005Metric,147.828,-93.218,-90.0,top
R5,1k,R_0402_1005Metric,147.066,-108.204,0.0,top
R6,5.1k,R_0402_1005Metric,143.383,-87.122,90.0,top
R7,10k,R_0402_1005Metric,153.67,-105.789,90.0,top
R8,10k,R_0402_1005Metric,138.43,-104.011,90.0,top
RLED1,470,R_0402_1005Metric,140.208,-110.742,90.0,top
SW1,Reset,SW_SPST_TL3342,135.89,-92.05,90.0,top
U3,RP2040,RP2040-QFN-56,146.05,-101.6,0.0,top
U4,SLSS49E-3,SOT-23,135.89,-105.41,180.0,top
U5,SLSS49E-3,SOT-23,156.21,-105.41,0.0,top
U6,AP2112K-3.3,SOT-23-5,156.21,-93.98,180.0,top
Y1,X322512MSB4SI,Crystal_SMD_3225-4Pin_3.2x2.5mm,146.05,-110.49,180.0,top
